User_ID	sex	dPlt	age	orgn	race	ethnic	_estmDrct	_contblack	_posFB	_negFB	prfSlfOtr	prfWhtBlk	prfDemRep	eItmWhtBlk	eDemRep	eSlfOtr	ewhtblk	eItmDemRep	votedDem	willVoteDem	rwa	rsnbrg	mrs	eItmSlfA	eItmSlfB	iatRace	batRace	cgatRace	satRace	spfRace	epRace	ampRace	spdRace	iatPltc	batPltc	cgatPltc	satPltc	spfPltc	epPltc	ampPltc	spdPltc	iatSelf	batSelf	cgatSelf	satSelf	spfSelf	epSelf	ampSelf	spdSelf
1563	f	3	22	us	.....																																												
2158	m	-2	40	us	.....			4	1	1	5	7	5		1	5	1		1	1			3.5							-0.349928518				-0.529154201		-0.56836518						0.3376808753	0.6129019729				0.0021480979		1.0833333333
3100	f	0	24	us	.....													2.6				4.8				0.5116650523													-0.342186122										
3554	f	2	29	us	.....			5	4	5	4	4				0	0														-0.000614728				0.6536725226				0.5641392171								1.1033210401		0.1
5017	f	2	23	us	.....																																	0.6716400327											
6829	f	3	45	us	.....																	5.6														2.1256191937									0.6593700174				0.6
7280	m	-3	40	uk	.....			2				5					2					5.5														0.9451378395										-0.051239089			
7321	m	2	28	us	.....								6		0				1	1																				0.4583333333			-0.073597006						
7578	m	2	34	in	.....			8				1					-10															0.9583333333													0.3155997518				
10597	f	3	52	us	.....			3				5					0				1.7333333333							1.2223339038									0.6449204332												
12346	f	2	48	us	.....		4		2	6	4					0					1.7333333333	3.4		-0.25	3.8	-0.530808586	-0.520785042	-0.265398121		-0.529436637						1.0373711865		0.4821317484											-0.027777778
12414	f	2	29	us	white	nhisp							7		6				1	1										0.6826641248								0.4268440923			1.25								
12900	f	-2	68	us	.....				1	5	5					1					1.2																		-0.360424013										
13023	f	1	48	us	.....								6		4				1	1			2			0.4131735863		1.1061612624	-0.771729919			-0.041666667														1.3362507916			
13024	m	2	41	us	.....		4											-1.8						-0.05	4.4										-0.386881173												-0.052022792		
13291	f	-2	26	lt	.....		4																	3.55	4.6											0.5905953911						0.6152876599						-0.125	
14766	f	0	29	us	.....																3.2												-0.5			0.7469046278											-0.449950436		
14787	m	0	28	us	white	nhisp																											0.5555555556								0								
15601	f	2	52	us	.....								7		6				1	1			1.6666666667													0.8392014513							0.2182194697						
18489	f	2	53	us	.....			1	3	5			6		5	3	1	4.8		1	1.6666666667	5.5	1.1666666667						-0.278513061	1.094430604	-0.10306184				0.7445021253			0.3326313208	-0.132683622	0.125	1.7222222222	0.5361570392	0.0795384433	0.2051987133	0.2883085992				2.0111111111
21021	f		60	ca	.....													4.4					1.3333333333					-0.177760922				-0.708333333		0.7972692652											-0.569189029			-0.333333333	
22594	f	2	29	pa	.....		5							-2.833333333										-0.45	4.6																								
23251	f	2	27	us	.....		4															5.8		0.55	5	-0.254462702									0.0857939292		0.499219103				1.3232323232			-1.544967927					
23632	m	-3	20	us	.....																		3.3333333333						-0.006535279											-0.708333333				2.0888072763			0.0965630849		
23935	f	2	49	us	.....									-0.333333333									1							0.3559973273				1.0376367996															
26619	f	2	62	us	.....																																				-1.545454545				0.1734810558		-0.47387879		
26681	m	-3	33	us	.....		4						2		-4									-4.25	4	0.2235186538	0.3816959725																						
27483	m	0	35	us	.....																							-0.281366924						1.008723606						0									1.1111111111
31678	f	-2	51	us	.....				4	2			2		-2	-2		-2	0	1							0.3152841702			-0.459012446		0.0416666667						-0.352737625					0.2447387318						
33207	f	2	57	us	black										6			3	1	1											-1.062846292											0.1951474495							
34839	f	3	37	us	.....								7		5				1	1								0.0876271593													1.6888888889								
35352	f	-2	22	us	.....																4.0666666667																				-0.181818182	0.1527921584					1.0367074664		
37123	m	1	27	us	.....								7		5				1	1			1.8333333333																										
38793	f	1	53	al	.....																		1.5																										
39923	f	2	68	us	.....								4		0																																		0.4722222222
40009	m	2	27	us	.....													-1.2				5.6								0.5410833368	0.9549447527																		
41788	f	3	58	us	.....		4																1		5.6													0.1905779818				0.5370037212							
42736	m	-2	39	us	.....																3										0.2317788644																	-0.125	
43902	f	2	57	us	.....			5				4					-2						1.6666666667						0.5329608762							0.8716408672									0.0817846508			0.125	
45964	m	3	65	us	.....				6	1	7					-1															0.5802074215						0.9083810795			0									
46221	f	3	29	us	.....																																				2.1818181818								
46331	f		52		.....									0																						0.915812782		1.2223367166		0.0416666667									0.4444444444
47776	m	2	44	us	.....													3.6			1.3333333333																	0.4383552203				0.612984027							
48434	f	3	31	us	.....																1									0.0919150207				0.4786456409							2								
49066	f		31		.....																		1.6666666667							-0.37387687	-0.687231356									0.875	2.4444444444	0.4589282932				-0.125873407		0.1666666667	
52684	m	2	36	us	.....																	4.7										0.2083333333			0.7756116312	0.2389923917													
52688	f	-1	63	us	.....									-1.166666667									1.5							0.1714524632																			
53368	f	3	55	us	.....		4																	5.25	5																								
