User_ID	sex	dPlt	age	orgn	race	ethnic	_estmDrct	_contblack	_posFB	_negFB	prfSlfOtr	prfWhtBlk	prfDemRep	eItmWhtBlk	eDemRep	eSlfOtr	ewhtblk	eItmDemRep	votedDem	willVoteDem	rwa	rsnbrg	mrs	eItmSlfA	eItmSlfB	iatRace	batRace	cgatRace	satRace	spfRace	epRace	ampRace	spdRace	iatPltc	batPltc	cgatPltc	satPltc	spfPltc	epPltc	ampPltc	spdPltc	iatSelf	batSelf	cgatSelf	satSelf	spfSelf	epSelf	ampSelf	spdSelf
54531	f	1	28	nz	.....													-0.2																									0.4915505254		0.635942021			0	
55098	m	0	53	us	.....		7							-2										4.15	5.2		-0.178032448		-1.236858231				0.7777777778				-0.26120674			-0.083333333									
55169	f	3	45	us	.....		5																	1.95	4.2					0.4310018427			-0.032967033										0.1434217475						
55366	m	-2	27	us	.....								2		-3			-4.4	0	0																									-0.088353764	0.5062559778			
56556	f	3	39	us	.....			1	1	1	7	3	7		7	7	-2			1								0.1153677749	-0.554283249		0.2262423501		0				0.3566432326	0.9078204732			-2.666666667		0.5877616709						0.3222222222
57674	f	3	48	ca	.....				1	1	5					-2																					-0.266220432			-0.125				0.7558907657					
58834	f	3	55	us	.....		3						7	-0.333333333	6				1	1				-1.65	4	0.0045925251	-0.532363866	1.4200383443											0.4819672536		2.9090909091								
59178	f	3	35	us	.....																2.3333333333																												
59467	f	3	33	us	.....																		1									-0.166666667			0.8044654636	0.9173481609													
59596	f	3	56	us	.....		4	2				4		-1.166666667			0						1	0.45	4														-0.04674234			0.3136674599							
60501	f	2	26	us	.....			3				4	7		4		0		1	1																										0.2651560033	1.5803943588		
62110	m	3	35	us	.....								7		3				1	1										-0.048664869					0.2138991969														
62261	f	3	27	us	.....																	5.6																											
62880	f	2	24	us	.....																	5.7														0.3438694613				0.875						0.6241260996			
62883	f	2	22	us	.....			3				4					0									-0.310329006						0.0833333333						1.0832789355											
63362	f	2	30	us	.....		5																1	-1.55	5				-0.488034906					1.1281808296															
63574	f	1	24	us	.....																	5.2	1.8333333333			0.4799633725							-0.636363636						0.1016144187			0.7934303111					0.5619768862		
63655	f	3	38	es	.....			1				4					0					3.2	1				-0.845484781									1.1400266146		0.9559926525	0.6794952824									-0.125	
64876	m		35	us	.....			2	1	2	5	4	4		0	0	0				3									-0.764559037																			
65191	f	3	25	us	.....		4		2	4	4					0		4.8			1.3333333333	4.9		-0.25	4.4									0.632045807				1.7312008125				0.6134268641		0.8955629621					
65292	m	0	39	in	.....																											0.0416666667										0.7594788694							
65369	m	3	21	us	.....		5	8	2	3	6	4		-1.666666667		2	0					4.6		0.55	4.8						0.1913785433		-0.82967033			1.5564023118			0.3711183506						0.190693234	-0.09634871	0.3099395711		
65517	f	0	32	us	.....								7		7				1	1			1.8333333333											0.3993994398					0.1928531544										
65668	f	2	24	us	.....								6		4				1	1						-0.22200992			0.4640126753																				0.4
66012	m	2	46	ca	.....			1				5					1					2.8							0.4939385897					0.9940901517															
66258	m	3	18	us	.....			7				5					0						1.3333333333																								-0.585257378		
67644	f	3	36	us	.....				2	3	6					2																								1									
68658	f	2	34	us	.....																		1																										
69077	f	3	47	us	.....		3																1	-2.25	5.4											2.6736151883								0.4374402777					
69129	f	3	32	us	.....			0				6		-0.666666667			3					4.3					0.8127809336			0.0215493362		0		0.8885562406			1.3131461989												
70060	m	2	52	us	.....																	5.2												0.0079885058									0.8038779771					0.2083333333	
70081	m	2	25	us	.....																													0.8657524546						-0.083333333	2.3636363636						-0.04782525		
71797	f	-3	33	us	white	nhisp																	1.8333333333																		-1.878787879		0.3852835681	-0.033133606					
72143	f	3	41	us	white	nhisp								-0.166666667																							0.9751265523		0.4197368805				0.7312571388			1.031900896			1.1666666667
72330	f	2	22	us	white	nhisp																	1.3333333333				0.0177196509	1.9016368942					-0.380952381				0.2888791808			0.125	1.3257575758					0.813735338			
73778	m	0	70	us	.....																															1.2944034254				-0.041666667			0.1349810368					-0.041666667	
74109	f	3	27	us	white	nhisp																											0				1.5473008936												
74228	m	0	48	us	.....				2	6	3					1							2.6666666667			0.2280424694											-0.292649516												
74869	f	0	47	us	white	nhisp															3.3333333333		1.8333333333					1.3942230176																	0.2847307001				
75144	f	2	43	us	.....			1				5					1				2.0666666667	5.1							-0.482695845					0.0274493418		0.9638796392	-0.458358678												0.4761904762
76421	f	2	21	us	white	nhisp																					0.6031385642																						
77193	f	3	18	us	white	hispa							7		4					1						-0.142904952				-0.976550261		-0.291666667		0.5761276201		0.940994438		-0.202063125			0.8333333333								-0.180555556
77319	m	3	21	us	white	nhisp																3																				0.6330023283				1.526377627			
78192			45		.....																																										0.5851592914		
79315	f	3	45	us	.....		2	8				4	7	-1.333333333	8		0		1	1			1	-0.55	4.2	-0.777473087		-1.671196214	-1.048893097	-0.24019605														1.1720285786			0.3492131071		
80351	f	2	52	us	.....																	5					0.2642809242													-0.041666667						0.4961993155			
80936	f	-1	21	br	unkno	hispa																	2.3333333333															0.0638336161		-0.125						1.0733059728			
82763	m	2	46	us	white	nhisp												-0.2											-0.518168989	-0.029157042																		-0.041666667	
85192	f	2		us	.....													4.5																	0.889486832	1.1206803124													0.6
85738	m	0	38	us	.....		5																	2.55	5.8																								0.1222222222
85890	f	3	54	uk	.....		4														1			-1.05	4			0.9057027656			-0.475015892																		
86898	f	-3	37	uk	.....									0.3333333333								2.5													-0.002947112				-0.080217431										
87549	m	3	38	uk	.....			5				4					0	3.2																					0.3080943536								-0.036474516		
88803	m	3	11	us	.....																																												
89270	f	3	56	co	.....									-1.5							2.9333333333	4					0.159806797							1.0100825018	0.794964859		0.597528904		1.1332839356									0.0833333333	0.5
90503	f	1	23	us	.....																																		-0.240119757										
90706	m	0	59	us	.....																																												
90917	f	2	50	us	.....																																												
91989	m	2	38	br	.....								7		6					1	1.9333333333	6				0.1591688257					0.5054917037	-0.166666667			0.6907697117												-0.067072085		
92019	f	-1	46	us	.....																												0.2307692308				-0.187409686										0.1913867513	0.0833333333	
92767	m		35	in	.....			0				4					0																			0.6471768543					0.125		0.2025647444						
93496	m	2	44	uk	.....																		1.8333333333							-0.586310613						1.0408215799				0.125									
93675	f	2	58	uk	.....		7		1	4	7					3								1.75	5.2							-0.083333333							0.6584117279			0.5891964122							
94421	m	0	45	us	.....		2																	1.55	2.6							0					-0.424151249						-0.097617767						
95010	m	2	20	ie	.....																																												
95516	m	1	39	us	.....								3	-1	-3				0	0																								0.3509313591	0.2843248684				
96016	m	2	22	pk	.....																												0																
97154	f	3	29	us	.....													3			2.5333333333						-0.52783166																			0.4801735394			
97512	m	0	37	us	.....				1	4	5					1		2.4																								0.8661782629		1.6967184656					
99250	f	2	51	us	.....									-1				4.8			1.6					0.4032123072		0.1092842978		-0.290587913	-0.285196373			0.746614138		1.5369686045													
99860	f	-2	17	us	.....																		2				-0.032149708				-0.251465456	-0.083333333							0.7574535667					0.264937634				-0.083333333	-1.222222222
100065	f	2	24	us	.....			5				3					-2					4.8														0.2807809119													
100081	f	3	38	ca	.....									-0.666666667																					0.7695084006										0.2594770519				-0.033333333
100894	f	0	23	us	white	nhisp												-3									0.013512544					0.1666666667						0.040381867											
100957			40		.....									-2.166666667									1.8333333333			0.8126728732				0.0707209877																			
101128	f	1	54	us	.....																													0.6324293007															
101443	f	2	43	us	.....			9	1	4	2	4	4	0	0	4	0	0		0	3.6428571429	4.7	1.6666666667			0.2682583346	0.0449454961	0.40155108		0.5641095387	-0.202736759	0.0416666667	0.2637362637	0.3203131991	0.6132652335	1.1454081899	-0.04272689	1.1561750662	-0.33921273	-0.041666667	0	0.6211728726		4.0844918196	0.7589909281		-0.262083543	0.125	
101635	f	2	53	us	.....									-1.5				4.2																															
101928	f	2	45	us	.....													3.6				5.3																-0.116956071									0.3547530028		
103243	m	0	42	us	.....		6																	2.55	5.4																								
104387	m	2	56	us	.....																										0.0440965174				0.2401651917					0.5								0	
105354	f	-1	36	us	.....								1		-7				0	0			2.1666666667								0.417093989						-0.472319077												
105393	m	3	29	us	.....																		1				-0.198391585		-0.466232863									0.8073043586		-0.083333333	1							-0.041666667	
105445	f	3	46	us	.....													6.2										-0.26306805				0.2083333333							1.4528112682										
106570	m	2	27	us	.....																											-0.041666667		0.3602339287		0.7482851364				-0.166666667									
106599	m	1	27	us	.....			1				4					0					5.4	1.3333333333					1.3517348022				0			-0.83803821				0.1442904583						0.0047817902				
108311	f	0	59	us	.....				1	6	4					0													0.1561381345			0.0416666667			0.0200983681						-0.714285714								
108488	f	2	26	us	.....		5																	2.15	4.2		0.1851266885	0.3782269149												0.75									
108660	f	2	36	us	.....																																								0.5451206899				
108825	f	2	33	us	.....																1.8666666667																												
109880	m		26	ng	.....				1	3	7					3																	-0.936507937				-0.459636681							0.0083277721					
109931	f	2	25	us	.....																		1.8333333333				0.2674856835	0.400207037	-0.384320818			-0.25								0.6666666667	1.6666666667		0.9269622842		1.373649426	0.930038195			-0.075
110762	m	2	55	us	.....			3				4					-4						1.6666666667												0.5294107889										0.458633513				
111373	f	0	21	ca	.....			3				5	7	0.1666666667	5		2			1						0.3607009776									0.6420028547						1.6636363636		0.2074358534	0.9188437544		0.341377811		0.125	1.5
111414	f	2	40	us	.....																							0.5566869201			-0.518327891																		
111670	m	2	42	us	.....																											0																	
112251	f	2	43	uk	.....																							-0.816756441			0.3713845333	-0.083333333	-0.485714286																
112314	f	3	45	us	.....				1	1	4					0										0.3101844823	0.003092018	0.6752147495					0.3333333333							0.9166666667									
113111	f	2	47	us	.....									-2.166666667															-0.40933131										0.1362226579		1.9909090909								
113183	f	-1	44	us	.....			4				4					0				2.7333333333						0.2680325335	0.7920131136			-0.865942701	-0.375	-0.363636364		-0.41610586						-1.166666667	1.0631327685						0.25	
113293	f	0	38	us	.....													-1.6																					-0.087250372									0.2083333333	
113735	m		19		.....								5	-0.166666667	3			3		1			4.1666666667			0.1561052397						-0.041666667		0.1283221565						-0.166666667		0.3677733944				-0.415953544			
114435	f	3	34	us	.....			4				4		-1.166666667			0																						0.39894887					1.2814771473					
115503	f	3	22	ca	.....									-3.333333333							2		1.1666666667							-0.244322735	-0.279521186		-0.730769231		0.4268579558								0.1714848702						
115971	m	1	33	us	.....																		1.6666666667							0.2985218225					0.2154583878						0.6909090909								
116114	f	-2	45	us	.....																											0.0416666667			0.2696056307							0.7562961423							0.5
116349	f	1	47	us	.....																	5.7																	0.3059798849					1.0633149495	0.4972938799				0.0222222222
116509	m	0	25	ca	.....		2																	2.15	4.6		0.1641096064														1.0606060606		0.2800566157						
116850	f	2	39	us	black	nhisp																5.6							-0.571926046								1.0497234588											0.2083333333	
116886	f	3	28	us	.....		5																	1.75	3.6														0.5469614					2.041859721				0.0833333333	
116995	f	0	35	us	.....		4	0				5		-0.666666667			1				2.1333333333	4.7	1	-0.05	4.4			2.4001627734		0.0955776744		0	0.0714285714	0.0851916122	0.2164600168	-0.002137072			0.0128543446	-0.083333333		0.1613887102		0.703373986	-0.091597314		0.2108281647	-0.125	0.3222222222
117367	f	2	22	us	.....								5		3				1	1											0.3555112046															0.0560763316		0.0833333333	
117800	f	2	33	ir	sAsia	nhisp		2			5						0																																
117976	f	2	31	us	.....		4															4.7		-0.35	4.4	-0.049633571		-0.351675658					0.0714285714											1.5163857727			0.2279121593		
118830	m	2	18	us	.....																	3.9							-0.02507329			0.1666666667														0.0885026522			
118870	m	-3	28	us	.....																																				-0.9		0.6397800492						
118926	f	3	53	us	.....			4				4					0																												0.7357089198		1.0359778876		
120421	f	1	20	us	.....			2				6					3																								0.6060606061	0.6431745382			0.6978412014				
121114	f	-2	52	us	.....									0				-4.2				5	3.6666666667						0.1073914993	0.4215261154	0.3575070706		0.4285714286						-0.11252693				0.2031567097	0.1416881495					
121350	f	2	27	us	.....		6						7		5			3.8	1						5	-0.351271638	-0.697040703		-0.221975851				0		0.7733465977			0.3658784493			1.5454545455						1.5644408454		
122124	f		20	us	.....																3.6	4.2						1.6527848767															0.723703624						
122772	f	0	21	us	.....			4				3	7		5		-2		1	1														0.5312643962															
122812	f	2	42	us	.....			4									3										0.8591219008		0.4945639711												1.4833333333								
122970	f	3	36	ca	white	nhisp																									-0.35741478	-0.416666667								0.3333333333		0.2648225006	0.3499901948		-0.333372517				0.9027777778
123025	f	2	29	us	.....		6																	-0.05	5					0.2192051151			0.3076923077													0.9580573502			
123041	f	0	44	us	.....								7		10			6	1	1									0.8417305181													-0.143282316							
123902	m	2	46	us	.....																2.0666666667	4.8							0.6588818638								0.0591267741												
124358	f	3	22	us	.....																																												
124792	f	2	30	us	.....			5				4	6		2		1		1	1						-0.44477805	-0.423780647															0.4853274612							
126270	f	2	22	us	.....									-1.166666667																									0.2431242518		0.7833333333								
126807	m	0	29	us	.....				1	3	7					4																0.0416666667						0.463957748							-0.283827705				
126946	f	1	20	us	.....																																												
127224	f	0	37	in	.....		6	0				4					0							1.75	5		-0.211069544	1.0717336829		0.18273864		0.0833333333	0.2307692308					0.4569927412											
127414	m	3	53	us	.....																1.9333333333												-0.179487179			1.5198638579						0.6159498029						0.0833333333	2.0952380952
128575	f	-1	23	us	.....								5		2					1	3.4							0.3290873271																			-0.150284602		
128961	f	2	62	us	.....		4						7		5				1	1				0.75	4.6									1.2549379972			1.6041470823												
129816	f	2	28	us	.....																					0.5639362772																							
130146	f	3	33	us	.....																							1.0672920831												0.0416666667		0.2953564452							1.2
130204	m	-1	29	uk	.....				1	2	6					1																											0.1253746972	1.2505486145				0	
130999	m	3	24	us	.....																																0.1475382969			0.6666666667			0.6769357788						1.3333333333
131013	f		23	ca	.....																																												
131150	f	2	35	us	.....									-1.333333333							2.7333333333								0.4978078734		-0.140490162																		
131510	f	2	56	us	.....				3	4	7					1																			0.2992989727					-0.25	0.1666666667	0.4949595871			0.5748214579	0.6063206528		-0.125	
132626	m	2	21	us	.....																																							0.6040075432					
133003	f	-1	26	us	.....			2				4					0														0.3490307311		0				0.0138274225												
133312	m	3	30	uk	.....									-1.5															-1.019165812		-0.080657589																		0.0222222222
133568	m	1	58	uk	.....			7				5	5		1		1			1																													
134325	f	3	21	us	.....																					0.4322961271							0								0						0.3668119306		
135033			32		.....																																												
136076	m	1	29	ca	.....		3											3				2.9		0.45	5		0.6060168472				0.7472289809											0.157974041							
136190	f	0	33	us	.....		4		1	3	6		7		4	1			1	1		5.6		0.25	4.4			0.2455881137										0.527778465			-0.5	0.8417660582							
137945	f	0	59	us	.....			4				4					0					5.2				-0.045971741		1.24305872				-0.041666667					0.1704776208			0.25						0.8927616631			
138219	m	-1	33	us	.....			3				4					0	-1.4								-0.027459401				-0.312719655																			
140272	m	1	55	us	.....			2				4					0				1.7333333333	5.6									0.0692495347				0.1154058989				-0.057577868		2.75		-0.183182446						
140692	m	-1	40	us	.....																																	-1.290573435											
140881	m	3	38	us	.....								7		6			2	1	1	3.1333333333							-0.686573239	-0.415558625				-0.972527473						0.1600920514						0.5505894264				
140910	m	3	32	ca	.....				1	5	5		4		0	1				1																	0.0514612082										-0.462197573		0
141964	m	2	35	us	.....													-4.2														-0.041666667							0.0025452972										
142312	f	3	26	us	.....								7	-0.833333333	7				1	1	1.4666666667		1.1666666667								0.0656402348			0.8787924203	1.0183914612			1.1925518506											
142909	m	3	26	us	.....																4.3333333333					0.8605600374								0.3385971645															
143202	f	2	30	us	.....			2				4					0																														0.6794387544		
143244	m	2	58	um	.....																		2								-0.500256532							0.0603659762			-0.6								
144133	f	3	59	us	.....																		1.6666666667						0.6162620185			-0.333333333						0.0947890054											
144230	f	2	30	us	.....		6											4						-0.35	5.8		0.1954963609						0												0.2048473738				
144470	f	2	34	us	.....		5		3	1	2			-1.166666667		-1					1.8666666667				4.2	0.0571912464												0.2510180445				0.4231222355							
144823	m	2	49	us	.....		4																	0.65	4.8																	1.0132368038						0.8333333333	
145276	m	2	30	us	.....																							1.1895744646				-0.375				0.9057062903					2.1								
145592	m	0	44	us	.....																											-0.375						0.4312308539	-0.030246722	-0.041666667									
145611	f	3	55	us	.....								7		5				1	1									-0.401509849																			-0.208333333	
145642	f	2	50	ca	.....									-2.166666667																					0.649730341											0.2874693236			0
145809	m	2	25	us	.....			2				4					0																						0.39008907										
146511	f	1	26	us	.....																		1										-0.412087912		0.8629997994						0.15		0.3266068694						
146805	m	-3	31	us	.....																3.4						0.5324548646																				0.5617132947	0.0416666667	
146861	m	3	25	us	.....																														0.3316063268	-0.138720356													
146903	f	1	49	us	.....								7	-0.166666667	7				1	1			2.6666666667					1.4458185374															-0.145489238			0.2089463487			-0.566666667
147330	f	2	27	us	.....			2				4					0				2.8																							1.2733273807			0.2031723298		
147920	f	0	32	us	.....																																												0.1
148165	f	1	19	us	.....								6		4				1	1		4.3						1.2146410334																			-0.341372621		
149681	f	2	21	us	.....																	4.5																	0.4141928409										
149937	f	-1	52	us	.....									-0.166666667				-4.2																				-0.966498464						-0.327168232					
150021	f	1	50	us	.....			7				4					0	1.4												-0.423705271														2.5175051235					
150185	f	3	30	us	.....				2	3	5					1							1					-1.278880513									0.4197814867			-0.041666667			0.5911235336				0.3448888395	-0.25	
150612	f	-2	36	us	.....		5					5	5		0		2		0	0				-3.75	4.4	0.4711900417	0.2834233465							0.5612370714									-0.002383149						2.4
151163	f	-1	54	us	.....																															-1.1508632													
153036	f	2	47	us	.....								7		2					1			1.1666666667				0.5593575159										0.1121855776		0.4827724469							-0.307650185			
153555	m	3	21	us	.....									0									1					0.8918137341						0.5584549876															
153569	f	2	27	us	.....																								-0.395863876				-0.307692308									0.2549032545							1.4111111111
153702	f	2	43	us	.....									-1														1.0909239664										0.0970769182											0.8
153743	f	2	28	us	.....													1.6											0.0509372292			0.0833333333													0.403209722				
153744	f	2	31	us	.....									-1.333333333													0.0681545884			-0.580076496										0.75									
154581	f	2	28	us	.....				1	2	5		6		3	2				1														0.6516841995									0.7191654352						
154598	f	2	49	ie	.....																	5.2						1.0674745642																0.989173072					
155561	f	2	20	us	.....																											0		-0.002377651										0.8681520805					0.5857142857
156417	m	0	19	us	.....																	4.7				0.1809078885																							
157281	m	0	33	us	.....		3							-0.333333333							2.3333333333			-1.35	3.6					0.5217042071							0.2465189832												
157415	f	1	37	us	.....								6		3				1	1		3.8														2.0801574644											0.4476343345		
157688	f	0	20	us	.....																																												-0.5
158442	f	3	42	us	.....									-0.666666667																																			
158731	f	3	21	us	.....			0				4					0	5.2													0.9729317085					0.6598992928													
159782	f	0	20	ca	black										0					1	3.1333333333										0.1920187634															0.4712478135			
159972	m	3	18	us	.....			2				4					0						1.6666666667				0.3106327959														0.5555555556					0.1725993243			
160196	f	2	18	in	.....		6																	1.95	4.8						-0.16653766									-0.125						-0.597772267			
160706	f	2	19	us	.....																2.2666666667	4.9								0.0912514656																0.8527396925			
161434	f	2	25	tt	.....																												-1.478021978				0.6410910018												
162532	f	-2	37	us	.....				3	5	6					3							2.1666666667								0.3486850477															0.409069689			
163116	f	0	26	us	.....		6																	3.05	5.6									-0.498321691						-0.25					0.0843287437				
164004	m	2	27	us	.....																	5.4							-0.179976068	-0.142797419										0.2083333333									
164138	m	1	29	us	.....																																												
164264	m	3	20	us	.....								4		1					1	3.3571428571						-0.093905544						-0.142857143		0.0430872552							0.5564464038	0.2392160217						
164510	f	2	64	se	.....																																												
164741	f	3	25	nl	.....									-1.8									2.3333333333			0.0491264835			-0.266102881	-0.282347957			-1.307692308	0.3199014724						-0.041666667					0.0912658417				0
165096	f	0	27	us	.....																		2.6666666667																					-1.161240831	0.2065395131			-0.083333333	
165654	f	-1	31	us	.....				1	2	6					1		-1.8					3				0.200728462											-0.109644482					0.6566421381		0.5304999886				
165869	f	2	39	uk	.....		4		2	4	4					0								1.05	5											0.1651464141									0.39048868				
165986	m	2	23	us	.....		4	8	1	3	5	6				2	2	2			2.3333333333			1.25	4.2				0.4934586559	0.4159049387							0.6780151179	0.7185440803		-0.083333333					0.3167381717		0.4415954736		-0.2
165989	f	2	60	us	.....													1.2			2.7333333333															0.312593795								2.177838455					
166409	m	3	59	us	.....																		2.8333333333					1.2318085804								0.2150426629													1.125
166478	m	2	20	ca	.....		5							-0.333333333										1.35	4.4																								
166593	m	2	18	us	.....				1	3	4					0													-0.359016458								0.5745331268											0.0416666667	
167135	m	0	31	sa	.....									-0.5																																			
168348			22		.....																																												
169082	f	1	22	jp	.....		3						4		0									2.65	4.2									0.2443251044					0.1545135912										
169738	f	1	21	us	.....				1	1	5					1												0.9149442777	0.3636701098											-0.041666667									
169744	f	0	19	um	.....																		1															-0.010090481									0.2471169763		
172218	m	-1	50	ca	.....																		2.5				0.0559050721			0.0048437137																			
172820	f	3	30	us	.....								7		6			5.4	1	1										0.0422091952																	-0.098555865		
172882	f	2	46	de	.....		5		2	4	5		6	-0.333333333	2	3		1.8		0	1.9333333333	4.9	1.6666666667	1.55	4.8		0.4625491351		0.0511034615	0.6559596922				0.257792302		0.3375539893	0.8802258702	1.35910535	1.2460682062		-1.191919192	0.7034783322				1.501220057	0.7692785215		
172943	f	0	22	us	.....				1	1	5					2					3.1333333333										-0.499376604	-0.125				-1.106033017	-0.923557653				-1.375					1.2591111427		0.0833333333	
173040	f	0	33	us	.....																	6	1.3333333333														0.7942511123										0.3360280982		
175440	m	0	42	us	.....								4		0			3.4		0													0	0.1362042054		0.7069297417					0.6181818182	0.031678621				0.3949565891			
175846	f	-1	19	us	.....			1				6					1				3.9333333333						0.4028144278								-0.528763899														
176369	m	1	48	us	.....			0	3	5	5	7				2	4									1.094744413	0.6175254436																						
177815	f	3	28	us	.....									-1.333333333				1.6																					0.2916426472					1.6096284857					
177950	m	3	20	us	.....																		1								0.0944177624	-0.291666667															0.7871742438		
178178	f	2	16	us	.....																									0.3910233924			-0.153846154													1.0116249864		0.125	
178394	m	2	37	us	.....																					0.0634875895	0.1620365763		1.1195036865				0	0.9721957214														0	1
178727	f	-2	51	us	.....		4																	0.55	5															-0.125									
178814	m	-3	21	us	.....													-3.6			4.2666666667																							0.6999269975					
178825	m	-1	38	au	.....																		2.6666666667									-0.083333333							0.4591875558							0.829513707			
179138	f	2	15	us	.....			1				5					1																																
180055	m		21	us	.....				2	2	3			-1		-1												1.6762237384							0.5746907155														
180173	f	1	43	nz	.....		5							-0.333333333										-3.75	4.4											0.4140017045						0.6883909232							
180676	f	2	44	us	.....				1	3	6					2																																	
180787	m	2	37	us	.....				4	5	3					2																		0.1762262272							1.2159090909						0.6550585772		
180948	f	2	56	us	.....			5									-1															0.0833333333		-0.131692915	-0.389484676														
181419	f	3	19	us	.....		4	0				4					0							1.95	4.4					0.0934205883														0.7411286275					
182315	f	1	23	au	.....				1	3	5					0												1.0345865608																0.7470734845					1.1111111111
182661	f	2	48	us	.....		5														2.9333333333			0.05	3.8			1.1909266415						0.1212190436	0.2377088795														
182770	f	0	42	us	.....													-1.4			3.6666666667		2				0.5194449551		-0.370828573	-0.297689804																	0.0655831866	-0.166666667	
183252	f	2	53	us	.....																		1									-0.166666667										0.5539808441				0.1807195768			
