unique_id,timepoint,scale,score
5,1,SITES,5
5,1,IRI_FS,17
5,1,IRI_EC,22
5,1,IRI_PT,20
5,1,IRI_PD,16
5,1,IRI_total,75
5,1,EQ_total,40
5,1,EQ_cog,15
5,1,EQ_aff,12
5,1,EQ_soc,8
5,1,PET_total,3.2857142857142856
5,1,EYES_total,30
6,1,SITES,5
6,1,IRI_FS,17
6,1,IRI_EC,23
6,1,IRI_PT,19
6,1,IRI_PD,4
6,1,IRI_total,63
6,1,EQ_total,33
6,1,EQ_cog,18
6,1,EQ_aff,9
6,1,EQ_soc,5
6,1,PET_total,3.857142857142857
6,1,EYES_total,26
7,1,SITES,4
7,1,IRI_FS,18
7,1,IRI_EC,19
7,1,IRI_PT,17
7,1,IRI_PD,15
7,1,IRI_total,69
7,1,EQ_total,28
7,1,EQ_cog,7
7,1,EQ_aff,14
7,1,EQ_soc,5
7,1,PET_total,4.857142857142857
7,1,EYES_total,27
8,1,SITES,4
8,1,IRI_FS,10
8,1,IRI_EC,14
8,1,IRI_PT,15
8,1,IRI_PD,12
8,1,IRI_total,51
8,1,EQ_total,24
8,1,EQ_cog,5
8,1,EQ_aff,9
8,1,EQ_soc,7
8,1,PET_total,3.142857142857143
8,1,EYES_total,20
9,1,SITES,5
9,1,IRI_FS,12
9,1,IRI_EC,16
9,1,IRI_PT,15
9,1,IRI_PD,7
9,1,IRI_total,50
9,1,EQ_total,67
9,1,EQ_cog,27
9,1,EQ_aff,18
9,1,EQ_soc,13
9,1,PET_total,3.2857142857142856
9,1,EYES_total,27
10,1,SITES,2
10,1,IRI_FS,9
10,1,IRI_EC,12
10,1,IRI_PT,19
10,1,IRI_PD,5
10,1,IRI_total,45
10,1,EQ_total,35
10,1,EQ_cog,23
10,1,EQ_aff,7
10,1,EQ_soc,2
10,1,PET_total,2.4285714285714284
10,1,EYES_total,19
11,1,SITES,4
11,1,IRI_FS,16
11,1,IRI_EC,18
11,1,IRI_PT,17
11,1,IRI_PD,14
11,1,IRI_total,65
11,1,EQ_total,26
11,1,EQ_cog,9
11,1,EQ_aff,9
11,1,EQ_soc,3
11,1,PET_total,4.571428571428571
11,1,EYES_total,28
12,1,SITES,4
12,1,IRI_FS,10
12,1,IRI_EC,16
12,1,IRI_PT,14
12,1,IRI_PD,7
12,1,IRI_total,47
12,1,EQ_total,40
12,1,EQ_cog,19
12,1,EQ_aff,11
12,1,EQ_soc,3
12,1,PET_total,1.7142857142857142
12,1,EYES_total,31
13,1,SITES,5
13,1,IRI_FS,27
13,1,IRI_EC,25
13,1,IRI_PT,24
13,1,IRI_PD,20
13,1,IRI_total,96
13,1,EQ_total,23
13,1,EQ_cog,6
13,1,EQ_aff,14
13,1,EQ_soc,6
13,1,PET_total,3.5714285714285716
13,1,EYES_total,23
14,1,SITES,3
14,1,IRI_FS,26
14,1,IRI_EC,16
14,1,IRI_PT,21
14,1,IRI_PD,10
14,1,IRI_total,73
14,1,EQ_total,38
14,1,EQ_cog,11
14,1,EQ_aff,14
14,1,EQ_soc,9
14,1,PET_total,3.2857142857142856
14,1,EYES_total,31
15,1,SITES,4
15,1,IRI_FS,15
15,1,IRI_EC,22
15,1,IRI_PT,20
15,1,IRI_PD,16
15,1,IRI_total,73
15,1,EQ_total,39
15,1,EQ_cog,9
15,1,EQ_aff,17
15,1,EQ_soc,8
15,1,PET_total,3.7142857142857144
15,1,EYES_total,15
16,1,SITES,4
16,1,IRI_FS,8
16,1,IRI_EC,16
16,1,IRI_PT,12
16,1,IRI_PD,7
16,1,IRI_total,43
16,1,EQ_total,28
16,1,EQ_cog,14
16,1,EQ_aff,7
16,1,EQ_soc,3
16,1,PET_total,3.142857142857143
16,1,EYES_total,28
17,1,SITES,3
17,1,IRI_FS,17
17,1,IRI_EC,23
17,1,IRI_PT,9
17,1,IRI_PD,20
17,1,IRI_total,69
17,1,EQ_total,45
17,1,EQ_cog,13
17,1,EQ_aff,16
17,1,EQ_soc,7
17,1,PET_total,3.2857142857142856
17,1,EYES_total,28
18,1,SITES,4
18,1,IRI_FS,21
18,1,IRI_EC,22
18,1,IRI_PT,19
18,1,IRI_PD,15
18,1,IRI_total,77
18,1,EQ_total,28
18,1,EQ_cog,12
18,1,EQ_aff,12
18,1,EQ_soc,6
18,1,PET_total,3.7142857142857144
18,1,EYES_total,21
19,1,SITES,5
19,1,IRI_FS,20
19,1,IRI_EC,25
19,1,IRI_PT,26
19,1,IRI_PD,8
19,1,IRI_total,79
19,1,EQ_total,66
19,1,EQ_cog,21
19,1,EQ_aff,23
19,1,EQ_soc,10
19,1,PET_total,4
19,1,EYES_total,30
20,1,SITES,3
