"","X","unique_id","age","gender","mean_self_report","n_items","amp_score","proportion_too_fast_trials","n_trials","exclude_amp"
"64",64,175188025,42,"male",1,3,0.819444444444444,0,72,"include"
"65",65,339232704,31,"male",2,3,0.777777777777778,0,72,"include"
"66",66,386456897,23,"male",1.33333333333333,3,0.472222222222222,0,72,"include"
"67",67,637668138,30,"male",2,3,0.5,0.0138888888888889,72,"include"
"68",68,237498336,49,"male",1,3,0.583333333333333,0,72,"include"
"69",69,631750145,24,"female",1,3,0.513888888888889,0.125,72,"exclude"
"70",70,867476338,29,"female",1,3,0.472222222222222,0,72,"include"
"71",71,196574198,21,"female",1,3,0.888888888888889,0,72,"include"
"72",72,692009266,31,"male",1,3,0.541666666666667,0,72,"include"
"73",73,477618299,53,"male",1,3,0.638888888888889,0,72,"include"
"74",74,325830955,50,"male",4.33333333333333,3,0.569444444444444,0.0277777777777778,72,"include"
"75",75,965314508,28,"male",1,3,0.5,0,72,"include"
"76",76,72442795,19,"female",1.66666666666667,3,0.944444444444444,0,72,"include"
"77",77,216287717,50,"female",3.33333333333333,3,0.527777777777778,0,72,"include"
"78",78,287027128,37,"female",1,3,0.5,0,72,"include"
"79",79,247697997,20,"male",2,3,0.625,0,72,"include"
"80",80,954130481,50,"female",1,3,0.513888888888889,0,72,"include"
"81",81,564734227,30,"male",1.66666666666667,3,0.375,0.152777777777778,72,"exclude"
"82",82,797453632,21,"male",1,3,0.583333333333333,0.0138888888888889,72,"include"
"83",83,85445170,26,"male",1,3,0.458333333333333,0.180555555555556,72,"exclude"
"84",84,614285355,59,"male",1,3,0.569444444444444,0,72,"include"
"85",85,14943693,39,"male",1.33333333333333,3,0.972222222222222,0,72,"include"
"86",86,920896673,35,"male",1,3,0.472222222222222,0.0555555555555556,72,"include"
"87",87,75092407,22,"female",1,3,0.402777777777778,0.0277777777777778,72,"include"
"88",88,83185292,39,"male",3.33333333333333,3,0.430555555555556,0,72,"include"
"89",89,234276163,55,"female",1,3,0.847222222222222,0,72,"include"
"90",90,940229231,45,"male",3,3,0.680555555555556,0,72,"include"
"91",91,456445084,48,"male",1,3,0.513888888888889,0,72,"include"
"92",92,102678881,32,"male",1,3,0.986111111111111,0,72,"include"
"93",93,187172011,51,"female",1,3,0.986111111111111,0,72,"include"
"94",94,108266335,32,"female",1,3,0.611111111111111,0,72,"include"
"95",95,752580117,35,"male",1,3,0.138888888888889,0,72,"include"
"96",96,506524197,36,"male",2,3,0.555555555555556,0,72,"include"
"97",97,524337317,29,"male",1.66666666666667,3,0.555555555555556,0,72,"include"
"98",98,759418836,32,"male",1,3,0.972222222222222,0.0138888888888889,72,"include"
"99",99,233735378,NA,NA,1.66666666666667,3,0.5,0,72,"include"
"100",100,246532124,NA,NA,4,1,0.548611111111111,0.00694444444444444,144,"include"
"101",101,494447594,NA,NA,1,3,0.875,0,72,"include"
"102",102,893377996,NA,NA,NA,1,NA,NA,NA,NA
